event_id,date,site,event_datetime_utc,event_datetime_local,treatment,event_interaction,n_dolphins,n_dolphins_in_area,n_dolphins_interacting,dolphin_photoid,n_fishers_nets,n_fishers_line,fishers_number_tags,buzz_occurred,n_buzzes,fisher_success,n_nets_with_fish,n_fish_total,has_drone,event_number_in_drone,hydrophone_track_on_off,camera_photo,photoid_number,observation
20240521_150148_tesoura,2024-05-21,tesoura,2024-05-21T18:01:48Z,2024-05-21T18:01:48Z,cooperative,NA,1,3,1,NA,2,24,NA,FALSE,0,TRUE,1,1,FALSE,NA,NA,NA,NA,NA
20240521_150155_tesoura,2024-05-21,tesoura,2024-05-21T18:01:55Z,2024-05-21T18:01:55Z,cooperative,NA,1,3,1,NA,2,24,NA,FALSE,0,TRUE,1,3,FALSE,NA,NA,NA,NA,NA
20240521_150520_tesoura,2024-05-21,tesoura,2024-05-21T18:05:20Z,2024-05-21T18:05:20Z,cooperative,NA,1,2,1,NA,5,20,14,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_150554_tesoura,2024-05-21,tesoura,2024-05-21T18:05:54Z,2024-05-21T18:05:54Z,cooperative,NA,1,2,1,NA,3,18,21,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_150640_tesoura,2024-05-21,tesoura,2024-05-21T18:06:40Z,2024-05-21T18:06:40Z,cooperative,NA,1,2,1,NA,1,18,NA,FALSE,0,TRUE,1,2,FALSE,NA,NA,NA,NA,NA
20240521_150728_tesoura,2024-05-21,tesoura,2024-05-21T18:07:28Z,2024-05-21T18:07:28Z,cooperative,NA,1,4,1,NA,5,18,4;6,FALSE,0,TRUE,1,1,FALSE,NA,#85,NA,NA,Ronaldo
20240521_151633_tesoura,2024-05-21,tesoura,2024-05-21T18:16:33Z,2024-05-21T18:16:33Z,cooperative,9,1,2,1,NA,3,20,4,TRUE,1,FALSE,0,0,FALSE,NA,on 15:11:00,7D_LAG,4071,NA
20240521_152105_tesoura,2024-05-21,tesoura,2024-05-21T18:21:05Z,2024-05-21T18:21:05Z,cooperative,9,1,2,1,NA,3,17,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240522_103220_quarto,2024-05-22,quarto,2024-05-22T13:32:20Z,2024-05-22T13:32:20Z,cooperative,1,1,2,1,NA,5,11,NA,FALSE,0,TRUE,1,10,TRUE,OFF,NA,NA,NA,NA
20240522_103348_quarto,2024-05-22,quarto,2024-05-22T13:33:48Z,2024-05-22T13:33:48Z,cooperative,1,1,2,1,NA,1,11,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_103741_tesoura,2024-05-22,tesoura,2024-05-22T13:37:41Z,2024-05-22T13:37:41Z,cooperative,1,1,2,1,NA,3,11,2;97,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_104835_quarto,2024-05-22,quarto,2024-05-22T13:48:35Z,2024-05-22T13:48:35Z,cooperative,1,1,2,1,33,1,10,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,7D_LAG,4099,NA
20240522_111242_tesoura,2024-05-22,tesoura,2024-05-22T14:12:42Z,2024-05-22T14:12:42Z,cooperative,2,1,2,1,74,2,14,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_111323_tesoura,2024-05-22,tesoura,2024-05-22T14:13:23Z,2024-05-22T14:13:23Z,cooperative,2,2,2,2,33;74,7,14,79;97,FALSE,0,TRUE,1,1,TRUE,OFF,NA,NA,NA,NA
20240522_112222_tesoura,2024-05-22,tesoura,2024-05-22T14:22:22Z,2024-05-22T14:22:22Z,cooperative,2,2,3,2,74;NI,1,13,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_113135_quarto,2024-05-22,quarto,2024-05-22T14:31:35Z,2024-05-22T14:31:35Z,cooperative,NA,1,3,1,NA,2,8,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,7D_LAG,4190,NA
20240522_113319_quarto,2024-05-22,quarto,2024-05-22T14:33:19Z,2024-05-22T14:33:19Z,cooperative,NA,1,3,1,NA,1,8,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,CHECK PHOTO-ID FOR THE CORRECT TIMESTAMP
20240522_113226_quarto,2024-05-22,quarto,2024-05-22T14:32:26Z,2024-05-22T14:32:26Z,cooperative,NA,1,3,1,NA,3,8,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,CHECK PHOTO-ID FOR THE CORRECT TIMESTAMP
20240522_113435_quarto,2024-05-22,quarto,2024-05-22T14:34:35Z,2024-05-22T14:34:35Z,cooperative,NA,1,3,1,NA,1,8,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,7D_LAG,4193,CHECK PHOTO-ID FOR THE CORRECT TIMESTAMP
20240522_113533_quarto,2024-05-22,quarto,2024-05-22T14:35:33Z,2024-05-22T14:35:33Z,cooperative,NA,1,3,1,NA,2,8,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_113635_quarto,2024-05-22,quarto,2024-05-22T14:36:35Z,2024-05-22T14:36:35Z,cooperative,NA,1,3,1,NA,1,10,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_113701_quarto,2024-05-22,quarto,2024-05-22T14:37:01Z,2024-05-22T14:37:01Z,cooperative,NA,1,3,1,NA,1,10,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_113839_quarto,2024-05-22,quarto,2024-05-22T14:38:39Z,2024-05-22T14:38:39Z,cooperative,NA,1,3,1,NA,2,10,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_113933_quarto,2024-05-22,quarto,2024-05-22T14:39:33Z,2024-05-22T14:39:33Z,cooperative,NA,1,3,1,NA,2,10,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_114037_quarto,2024-05-22,quarto,2024-05-22T14:40:37Z,2024-05-22T14:40:37Z,cooperative,NA,1,3,1,NA,1,9,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_114141_quarto,2024-05-22,quarto,2024-05-22T14:41:41Z,2024-05-22T14:41:41Z,cooperative,NA,1,3,1,NI,2,10,NA,FALSE,0,TRUE,1,1,TRUE,OFF,NA,NA,NA,NA
20240522_114304_quarto,2024-05-22,quarto,2024-05-22T14:43:04Z,2024-05-22T14:43:04Z,cooperative,NA,1,3,1,NA,3,9,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_114335_quarto,2024-05-22,quarto,2024-05-22T14:43:35Z,2024-05-22T14:43:35Z,cooperative,NA,1,3,1,NA,3,9,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_115209_tesoura,2024-05-22,tesoura,2024-05-22T14:52:09Z,2024-05-22T14:52:09Z,cooperative,NA,1,3,1,33,6,10,6;79;21;2,FALSE,0,TRUE,3,197,TRUE,OFF,NA,NA,NA,NA
20240522_115345_tesoura,2024-05-22,tesoura,2024-05-22T14:53:45Z,2024-05-22T14:53:45Z,cooperative,3,1,3,1,NI,1,10,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_115515_tesoura,2024-05-22,tesoura,2024-05-22T14:55:15Z,2024-05-22T14:55:15Z,cooperative,NA,2,3,2,NA,1,13,4,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
20240522_120025_quarto,2024-05-22,quarto,2024-05-22T15:00:25Z,2024-05-22T15:00:25Z,cooperative,NA,1,3,1,NA,3,4,NA,FALSE,0,FALSE,0,0,TRUE,OFF,NA,NA,NA,NA
